lapso,membrana,recursos_restantes,producciones,aplicaciones,creadas_global,disueltas_global
1,m_out,{},{'b': 3},,,
1,m1,{'a': 1},{},"[('a', 3)]->[('b_out', 1)]Ã—3",,
2,m_out,{'b': 3},{'r': 1},,,
2,m1,{},{},"[('a', 1)]->[('r_out', 1)]Ã—1",,
3,m_out,"{'b': 3, 'r': 1}",{},,,
3,m1,{},{},,,
4,m_out,"{'b': 3, 'r': 1}",{},,,
4,m1,{},{},,,
5,m_out,"{'b': 3, 'r': 1}",{},,,
5,m1,{},{},,,
6,m_out,"{'b': 3, 'r': 1}",{},,,
6,m1,{},{},,,
7,m_out,"{'b': 3, 'r': 1}",{},,,
7,m1,{},{},,,
8,m_out,"{'b': 3, 'r': 1}",{},,,
8,m1,{},{},,,
9,m_out,"{'b': 3, 'r': 1}",{},,,
9,m1,{},{},,,
10,m_out,"{'b': 3, 'r': 1}",{},,,
10,m1,{},{},,,
11,m_out,"{'b': 3, 'r': 1}",{},,,
11,m1,{},{},,,
12,m_out,"{'b': 3, 'r': 1}",{},,,
12,m1,{},{},,,
13,m_out,"{'b': 3, 'r': 1}",{},,,
13,m1,{},{},,,
14,m_out,"{'b': 3, 'r': 1}",{},,,
14,m1,{},{},,,
15,m_out,"{'b': 3, 'r': 1}",{},,,
15,m1,{},{},,,
16,m_out,"{'b': 3, 'r': 1}",{},,,
16,m1,{},{},,,
17,m_out,"{'b': 3, 'r': 1}",{},,,
17,m1,{},{},,,
18,m_out,"{'b': 3, 'r': 1}",{},,,
18,m1,{},{},,,
19,m_out,"{'b': 3, 'r': 1}",{},,,
19,m1,{},{},,,
20,m_out,"{'b': 3, 'r': 1}",{},,,
20,m1,{},{},,,
21,m_out,"{'b': 3, 'r': 1}",{},,,
21,m1,{},{},,,
22,m_out,"{'b': 3, 'r': 1}",{},,,
22,m1,{},{},,,
23,m_out,"{'b': 3, 'r': 1}",{},,,
23,m1,{},{},,,
24,m_out,"{'b': 3, 'r': 1}",{},,,
24,m1,{},{},,,
25,m_out,"{'b': 3, 'r': 1}",{},,,
25,m1,{},{},,,
26,m_out,"{'b': 3, 'r': 1}",{},,,
26,m1,{},{},,,
27,m_out,"{'b': 3, 'r': 1}",{},,,
27,m1,{},{},,,
28,m_out,"{'b': 3, 'r': 1}",{},,,
28,m1,{},{},,,
29,m_out,"{'b': 3, 'r': 1}",{},,,
29,m1,{},{},,,
30,m_out,"{'b': 3, 'r': 1}",{},,,
30,m1,{},{},,,
